Trial  Epoch   LepIsoRank  MetPhiRank  MLLRank  ScoreRank  StatsScore     MLLKS     MetPhiKS  LepIsoKS  SortKey
23     53000   7274        1051        2670     14719      5844.320508    0.138482  0.015879  0.446400  3721.000000
23     7000    8791        1395        2329     15286      9046.454082    0.132600  0.018483  0.489000  3724.000000
88     69000   5630        2636        1106     2446       291.562646     0.106804  0.027019  0.402900  3742.000000
79     56500   7062        1496        2248     8008       1096.676242    0.130985  0.019262  0.440900  3744.000000
79     98500   14369       2121        1652     8898       1317.417540    0.119407  0.023635  0.746100  3773.000000
2      81000   5429        1732        2041     5210       553.665493     0.126736  0.020950  0.397700  3773.000000
24     21000   13998       407         3368     15280      8941.076775    0.149349  0.010475  0.712400  3775.000000
58     17000   13382       664         3120     10909      1952.599758    0.145735  0.013010  0.665800  3784.000000
24     58000   9570        2037        1757     13183      3265.731637    0.121515  0.023049  0.511100  3794.000000
35     88000   15207       3680        128      10316      1735.472850    0.065161  0.034012  0.872000  3808.000000
18     44500   4795        1936        1892     3710       380.743662     0.124185  0.022337  0.379800  3828.000000
9      60500   4302        3368        461      6125       706.393079     0.085737  0.032029  0.366819  3829.000000
48     70500   12364       3777        60       3833       391.912472     0.056269  0.034593  0.611400  3837.000000
29     44000   12144       112         3727     13067      3169.906945    0.155487  0.007452  0.600300  3839.000000
14     65000   14980       876         2975     7939       1082.000913    0.143532  0.014611  0.829085  3851.000000
24     24000   12656       3734        118      13762      3911.615113    0.064407  0.034375  0.625300  3852.000000
9      57000   11172       1769        2087     5704       635.684877     0.127652  0.021260  0.562400  3856.000000
44     37500   9674        1709        2154     8991       1340.648939    0.129033  0.020838  0.513800  3863.000000
11     86500   10977       1087        2785     14694      5758.835954    0.140437  0.016176  0.555453  3872.000000
29     90000   12097       2370        1509     15445      11251.611104   0.116404  0.025239  0.597759  3879.000000
3      59500   3293        886         3001     4455       451.056425     0.143801  0.014708  0.338570  3887.000000
15     98000   15336       546         3348     10592      1840.567933    0.149087  0.011790  0.910100  3894.000000
89     30000   9779        297         3619     14110      4426.836528    0.153441  0.009587  0.517600  3916.000000
11     27000   6530        850         3070     10367      1756.308416    0.144965  0.014414  0.427122  3920.000000
57     94500   4497        3346        586      5088       534.861894     0.090632  0.031824  0.372200  3932.000000
59     98500   3668        3538        395      2246       279.871211     0.083246  0.033162  0.349800  3933.000000
11     96500   15396       2538        1399     14740      5893.532026    0.113681  0.026312  0.928400  3937.000000
18     43000   2164        3844        98       3243       343.611023     0.061451  0.035052  0.305400  3942.000000
15     9500    13885       372         3586     13959      4201.855465    0.152822  0.010178  0.704100  3958.000000
71     86500   13563       2456        1511     11333      2122.081546    0.116429  0.025809  0.678686  3967.000000
7      46000   7696        1326        2641     4218       426.508700     0.137965  0.017919  0.458562  3967.000000
67     48000   8141        689         3284     10556      1824.250004    0.148190  0.013190  0.471100  3973.000000
45     57500   14146       991         2993     15631      19618.243720   0.143711  0.015449  0.723300  3984.000000
9      83500   5867        2268        1717     11472      2179.763625    0.120723  0.024600  0.409300  3985.000000
2      42500   189         3095        903      4288       433.647660     0.100865  0.030183  0.209689  3998.000000
20     46500   850         2561        1439     3602       372.696572     0.114740  0.026489  0.254800  4000.000000
74     71500   12950       2436        1567     2487       293.968630     0.117712  0.025681  0.640978  4003.000000
78     49000   9349        2522        1481     4894       507.227510     0.115845  0.026182  0.505100  4003.000000
79     59500   6960        45          3969     5126       541.960297     0.159251  0.006334  0.438100  4014.000000
31     19000   5941        999         3023     6404       763.378122     0.144082  0.015510  0.411600  4022.000000
26     77500   186         2049        1974     2794       312.294954     0.125687  0.023112  0.209500  4023.000000
7      41000   3195        2817        1214     1726       250.387436     0.109538  0.028288  0.335994  4031.000000
21     71500   4250        3746        287      356        153.612851     0.076857  0.034440  0.365100  4033.000000
24     89000   11482       3577        466      15594      16537.580571   0.085963  0.033367  0.573836  4043.000000
24     71000   14762       3787        263      14122      4439.000160    0.075659  0.034663  0.795295  4050.000000
67     57500   11845       839         3213     9351       1431.688133    0.147153  0.014325  0.587126  4052.000000
79     63000   5377        3660        392      5309       567.607100     0.083170  0.033873  0.396490  4052.000000
9      71000   9261        953         3100     7073       898.795368     0.145397  0.015185  0.502500  4053.000000
8      89500   8828        1744        2319     10416      1770.021702    0.132489  0.021001  0.489913  4063.000000
67     52500   8023        1060        3009     8217       1143.331898    0.143913  0.015986  0.467600  4069.000000
44     38500   6161        1656        2418     8490       1211.179015    0.134109  0.020417  0.417169  4074.000000
86     85000   10714       3494        581      9595       1501.355670    0.090417  0.032916  0.546739  4075.000000
49     17000   12694       2404        1678     14476      5132.014404    0.119900  0.025472  0.627000  4082.000000
72     18500   1686        230         3861     9499       1471.607062    0.157540  0.008955  0.289019  4091.000000
89     77500   12912       4039        78       13965      4209.512238    0.059149  0.036202  0.638706  4117.000000
54     34500   11258       2904        1218     9827       1574.242852    0.109588  0.028849  0.565418  4122.000000
43     93500   12657       368         3758     10109      1666.997464    0.155930  0.010135  0.625300  4126.000000
69     4500    9913        872         3259     12485      2722.926714    0.147805  0.014554  0.521900  4131.000000
57     69500   1509        4091        41       3425       358.177253     0.051068  0.036481  0.282500  4132.000000
56     88000   13410       1107        3026     14121      4438.788177    0.144143  0.016317  0.668100  4133.000000
21     54500   1400        2486        1648     493        166.207748     0.119379  0.025996  0.278100  4134.000000
71     66000   6191        373         3766     10280      1726.483831    0.155997  0.010184  0.418065  4139.000000
30     42000   1604        1528        2612     8858       1305.272708    0.137452  0.019499  0.286200  4140.000000
56     73000   13108       3754        386      14665      5663.797320    0.082660  0.034486  0.650590  4140.000000
71     38000   8741        3833        308      10652      1861.837857    0.077858  0.034979  0.487438  4141.000000
89     82500   14359       2827        1320     9352       1432.251396    0.111839  0.028356  0.744981  4147.000000
48     69000   7739        2892        1259     3669       377.616756     0.110576  0.028756  0.459500  4151.000000
23     82000   14382       1723        2437     15086      7453.635516    0.134468  0.020918  0.747500  4160.000000
24     87000   7668        3789        382      15112      7598.100803    0.082506  0.034675  0.457700  4171.000000
24     34500   10151       1492        2680     12464      2709.441651    0.138731  0.019247  0.529917  4172.000000
24     51500   11257       743         3440     15602      17127.845930   0.150354  0.013628  0.565362  4183.000000
69     77500   12063       580         3612     11533      2209.331064    0.153334  0.012203  0.596361  4192.000000
24     13500   14766       704         3497     15509      13034.840433   0.151338  0.013313  0.795800  4201.000000
9      6000    14510       766         3441     11442      2164.669586    0.150361  0.013820  0.763200  4207.000000
55     8500    11223       242         3978     12079      2486.554851    0.159426  0.009103  0.564300  4220.000000
9      54500   9903        2451        1770     8440       1199.888204    0.121802  0.025773  0.521572  4221.000000
70     94500   8135        1546        2682     8481       1209.290199    0.138751  0.019666  0.470932  4228.000000
